country,role,level,min_eur,max_eur,range_eur
Estonia,Applications Developer,co,44,49,5
Estonia,Automation Engineer,sme,30,38,8
Estonia,Automation Engineer,st,40,46,6
Estonia,Automation Engineer,co,41,46,5
Estonia,Backend Developer,sme,30,38,8
Estonia,Backend Developer,st,40,54,14
Estonia,Backend Developer,co,47,67,20
Estonia,BI Analyst,sme,34,41,7
Estonia,BI Analyst,st,37,44,7
Estonia,BI Analyst,co,37,45,8
Estonia,BI Developer,sme,30,34,4
Estonia,BI Developer,st,41,46,5
Estonia,BI Developer,co,42,46,4
Estonia,BI Manager,sme,42,49,7
Estonia,BI Manager,st,45,52,7
Estonia,BI Manager,co,58,66,8
Estonia,Cyber Security Analyst,sme,39,46,7
Estonia,Cyber Security Analyst,st,40,48,8
Estonia,Cyber Security Analyst,co,41,47,6
Estonia,Data Analyst,sme,43,48,5
Estonia,Data Analyst,st,45,52,7
Estonia,Data Analyst,co,46,52,6
Estonia,Data Engineer,sme,37,50,13
Estonia,Data Engineer,st,47,62,15
Estonia,Data Engineer,co,57,74,17
Estonia,Devops Engineer,sme,38,45,7
Estonia,Devops Engineer,st,48,61,13
Estonia,Devops Engineer,co,57,73,16
Estonia,Frontend Developer,sme,33,40,7
Estonia,Frontend Developer,st,44,50,6
Estonia,Frontend Developer,co,51,62,11
Estonia,Full Stack Developer,sme,33,43,10
Estonia,Full Stack Developer,st,46,59,13
Estonia,Full Stack Developer,co,50,62,12
Estonia,Machine Learning Engineer,sme,36,48,12
Estonia,Machine Learning Engineer,st,55,68,13
Estonia,Machine Learning Engineer,co,60,77,17
Estonia,Network Architect,sme,38,43,5
Estonia,Network Architect,st,43,50,7
Estonia,Network Architect,co,58,65,7
Estonia,Python Developer,sme,26,32,6
Estonia,Python Developer,st,37,45,8
Estonia,Python Developer,co,40,48,8
Estonia,QA Analyst,sme,36,38,2
Estonia,QA Analyst,st,38,42,4
Estonia,QA Analyst,co,38,43,5
Estonia,QA Engineer,sme,26,34,8
Estonia,QA Engineer,st,39,47,8
Estonia,QA Engineer,co,42,50,8
Estonia,QA Manager,sme,54,58,4
Estonia,QA Manager,st,63,70,7
Estonia,QA Manager,co,63,71,8
Estonia,Salesforce Developer,sme,26,30,4
Estonia,Salesforce Developer,st,25,31,6
Estonia,Salesforce Developer,co,33,44,11
Estonia,Scrum Master,sme,31,41,10
Estonia,Scrum Master,st,37,47,10
Estonia,Scrum Master,co,48,54,6
Estonia,Software Developer,sme,32,35,3
Estonia,Software Developer,st,45,51,6
Estonia,Software Developer,co,47,54,7
Estonia,Software Engineer,sme,35,48,13
Estonia,Software Engineer,st,40,55,15
Estonia,Software Engineer,co,56,72,16
Estonia,Software Engineering Manager,sme,49,55,6
Estonia,Software Engineering Manager,st,60,70,10
Estonia,Software Engineering Manager,co,83,100,17
Estonia,Solutions Analyst,sme,35,43,8
Estonia,Solutions Analyst,st,38,47,9
Estonia,Solutions Analyst,co,39,46,7
Estonia,Systems Architect,sme,38,42,4
Estonia,Systems Architect,st,42,51,9
Estonia,Systems Architect,co,68,84,16
Estonia,Systems Engineer,sme,34,44,10
Estonia,Systems Engineer,st,42,52,10
Estonia,Systems Engineer,co,44,55,11
Estonia,Test Automation Engineer,sme,22,30,8
Estonia,Test Automation Engineer,st,27,34,7
Estonia,Test Automation Engineer,co,40,49,9
Finland,Applications Developer,sme,45,51,6
Finland,Applications Developer,st,54,62,8
Finland,Applications Developer,co,59,64,5
Finland,Automation Engineer,sme,40,48,8
Finland,Automation Engineer,st,56,64,8
Finland,Automation Engineer,co,59,68,9
Finland,Backend Developer,sme,44,52,8
Finland,Backend Developer,st,55,68,13
