id,title,category,company,level,salary,link,format,city/country
33135,UX/UI дизайнер,design,QData,middle,88900,https://hirehi.ru/design/ux-ui-dizainer-33135,офис,Астана
33134,ios developer,development,NDA,middle,198100,https://hirehi.ru/development/ios-developer-33134,офис,Минск
33133,Python Developer,development,Альфа-Банк,senior,328100,https://hirehi.ru/development/python-developer-33133,удалённо,РФ
33132,Java разработчик,development,Кинопоиск,middle,246500,https://hirehi.ru/development/java-razrabotchik-33132,гибрид,Москва
33131,flutter разработчик,development,Solway,middle,200000,https://hirehi.ru/development/flutter-razrabotchik-33131,удалённо,РФ
33130,node.js разработчик,development,Vega Bet,senior,252200,https://hirehi.ru/development/node-js-razrabotchik-33130,удалённо,Не указано
33129,системный аналитик,analytics,NEXTEPIC,middle,205000,https://hirehi.ru/analytics/sistemnyi-analitik-33129,удалённо,РФ
33128,frontend developer,development,Трион,middle,65000,https://hirehi.ru/development/frontend-developer-33128,удалённо,Не указано
33124,Системный аналитик,analytics,ВТБ,middle,219300,https://hirehi.ru/analytics/sistemnyi-analitik-33124,гибрид,Москва
33123,UX/UI Designer,design,Tripster,lead,320700,https://hirehi.ru/design/ux-ui-designer-33123,удалённо,Не указано
33122,DevOps инженер,devops,Pari,senior,300000,https://hirehi.ru/devops/devops-inzhener-33122,удалённо,РФ
33121,DevOps инженер,devops,Сбер,middle,252000,https://hirehi.ru/devops/devops-inzhener-33121,гибрид,Москва
33120,ux/ui-дизайнер,design,Команда Леонида Тальписа,middle,100000,https://hirehi.ru/design/ux-ui-dizainer-33120,удалённо,Не указано
33119,UX дизайнер,design,Молодей,middle,100000,https://hirehi.ru/design/ux-dizainer-33119,удалённо,Не указано
33118,business analyst,analytics,GetMeGit,senior,192000,https://hirehi.ru/analytics/business-analyst-33118,гибрид,Не указано
33117,automation qa,qa,AI IDE BAS,lead,342200,https://hirehi.ru/qa/automation-qa-33117,удалённо,Не указано
33116,data engineer,development,GetMeGit,senior,292300,https://hirehi.ru/development/data-engineer-33116,удалённо,Не указано
33115,Data Engineer,development,Coherent Solutions,middle,228000,https://hirehi.ru/development/data-engineer-33115,удалённо,Не указано
33113,c# разработчик,development,Контур,lead,321600,https://hirehi.ru/development/c-razrabotchik-33113,удалённо,Не указано
33112,Java Developer,development,Альфа-Банк,lead,355800,https://hirehi.ru/development/java-developer-33112,удалённо,РФ
33111,UX/UI дизайнер,design,Marfatech,lead,258700,https://hirehi.ru/design/ux-ui-dizainer-33111,удалённо,Не указано
33110,Менеджер проектов,management,Vide Infra,middle,160000,https://hirehi.ru/management/menedzher-proektov-33110,удалённо,Не указано
33109,разработчик встраиваемых систем,development,Яндекс Техплатформа,middle,251400,https://hirehi.ru/development/razrabotchik-vstraivaemyh-sistem-33109,гибрид,Москва
33108,manual qa,qa,Evercode Lab,middle,100900,https://hirehi.ru/qa/manual-qa-33108,офис,Санкт-Петербург
33084,Senior Data-инженер,development,Лайв Тайпинг,senior,280000,https://hirehi.ru/development/senior-data-inzhener-33084,удалённо,РФ
33107,Project Manager,management,Guli Games,junior,130300,https://hirehi.ru/management/project-manager-33107,удалённо,Не указано
33106,project manager,management,NDA,middle,235100,https://hirehi.ru/management/project-manager-33106,удалённо,Не указано
33105,flutter developer,development,NDA,senior,289300,https://hirehi.ru/development/flutter-developer-33105,офис,Ташкент
33104,qa engineer (manual),qa,NDA,senior,281800,https://hirehi.ru/qa/qa-engineer-manual-33104,удалённо,Не указано
33103,System Analyst,analytics,Альфа-Банк,middle,220000,https://hirehi.ru/analytics/system-analyst-33103,удалённо,РФ
33101,DevOps инженер,devops,SPOTWARE,senior,470000,https://hirehi.ru/devops/devops-inzhener-33101,офис,Лимассол
33100,ai engineer,development,Сбер,middle,277700,https://hirehi.ru/development/ai-engineer-33100,гибрид,Москва
33094,Senior Python Backend Developer,development,recruiter,senior,680000,https://hirehi.ru/development/senior-python-backend-developer-33094,удалённо,Не указано
33099,Менеджер продукта,management,ВКонтакте,senior,307300,https://hirehi.ru/management/menedzher-produkta-33099,удалённо,РФ
33098,ux/ui-дизайнер,design,БАЗИС,middle,120300,https://hirehi.ru/design/ux-ui-dizainer-33098,удалённо,Не указано
33095,platform engineer,devops,GetMeGit,senior,320000,https://hirehi.ru/devops/platform-engineer-33095,удалённо,Не указано
33093,системный аналитик,analytics,SSP SOFT,middle,158400,https://hirehi.ru/analytics/sistemnyi-analitik-33093,удалённо,РФ
33092,fullstack developer,development,RemotePass,senior,351000,https://hirehi.ru/development/fullstack-developer-33092,удалённо,Не указано
33086,QA тестировщик (manual),qa,Сбер,middle,184200,https://hirehi.ru/qa/qa-testirovschik-manual-33086,гибрид,Москва
33085,UX/UI Designer,design,НЕКСТБИ,middle,158700,https://hirehi.ru/design/ux-ui-designer-33085,удалённо,Не указано
33083,Менеджер проекта,management,Presium,middle,140100,https://hirehi.ru/management/menedzher-proekta-33083,удалённо,Не указано
33082,Java разработчик,development,Яндекс Транспорт,senior,322100,https://hirehi.ru/development/java-razrabotchik-33082,гибрид,Москва
33081,системный аналитик,analytics,Глобус-ИТ,middle,179900,https://hirehi.ru/analytics/sistemnyi-analitik-33081,гибрид,Сочи
33080,python разработчик,development,ТимФ,senior,260000,https://hirehi.ru/development/python-razrabotchik-33080,удалённо,РФ
33079,devops engineer,devops,Премьер Софтвер Солюшенс,senior,300000,https://hirehi.ru/devops/devops-engineer-33079,гибрид,Воронеж
33078,typescript developer,development,Tango,senior,352500,https://hirehi.ru/development/typescript-developer-33078,офис,Лимассол
33077,Backend разработчик,development,Яндекс Go,middle,267700,https://hirehi.ru/development/backend-razrabotchik-33077,гибрид,Не указано
33076,автоматизатор тестирования,qa,NDA,middle,300000,https://hirehi.ru/qa/avtomatizator-testirovaniya-33076,удалённо,Не указано
33075,data engineer,development,Top Selection,lead,340000,https://hirehi.ru/development/data-engineer-33075,удалённо,РФ
33074,automation qa,qa,Symfa,middle,182700,https://hirehi.ru/qa/automation-qa-33074,удалённо,Не указано
33073,системный аналитик,analytics,Газпромбанк,middle,184400,https://hirehi.ru/analytics/sistemnyi-analitik-33073,офис,Санкт-Петербург
33071,Java Developer,development,ВКонтакте,middle,243700,https://hirehi.ru/development/java-developer-33071,офис,Москва
33070,Аналитик данных,analytics,Wollmer,middle,156500,https://hirehi.ru/analytics/analitik-dannyh-33070,удалённо,Не указано
33068,fullstack developer,development,YaizY,senior,240000,https://hirehi.ru/development/fullstack-developer-33068,удалённо,Не указано
33067,Golang Developer,development,Солар,senior,251000,https://hirehi.ru/development/golang-developer-33067,удалённо,РФ
33066,C++ разработчик,development,Яндекс Карты,middle,254500,https://hirehi.ru/development/c-razrabotchik-33066,гибрид,Москва
33064,разработчик 1c,development,NDA,middle,180000,https://hirehi.ru/development/razrabotchik-1c-33064,офис,Москва
33063,infrastructure engineer,devops,Сбер,middle,128500,https://hirehi.ru/devops/infrastructure-engineer-33063,офис,Благовещенск
33062,разработчик 1c,development,Зрение,middle,160700,https://hirehi.ru/development/razrabotchik-1c-33062,гибрид,Санкт-Петербург
33061,Продуктовый дизайнер,design,Leonards space,middle,150000,https://hirehi.ru/design/produktovyi-dizainer-33061,удалённо,Не указано
33060,backend developer,development,Rooh Co.,middle,247300,https://hirehi.ru/development/backend-developer-33060,удалённо,Не указано
33059,QA Engineer (auto),qa,Сбер,middle,211300,https://hirehi.ru/qa/qa-engineer-auto-33059,гибрид,Москва
33058,java developer,development,ГК Паладин,middle,140000,https://hirehi.ru/development/java-developer-33058,гибрид,Санкт-Петербург
33056,devops engineer,devops,NDA,middle,304400,https://hirehi.ru/devops/devops-engineer-33056,офис,Лимассол
33055,automation qa,qa,Солар,middle,208200,https://hirehi.ru/qa/automation-qa-33055,удалённо,РФ
33054,kubernetes engineer,devops,Солар,middle,227800,https://hirehi.ru/devops/kubernetes-engineer-33054,удалённо,Не указано
33052,ai engineer,development,НТК,senior,400000,https://hirehi.ru/development/ai-engineer-33052,удалённо,Не указано
33051,Product Analyst,analytics,Точка,senior,390000,https://hirehi.ru/analytics/product-analyst-33051,удалённо,Не указано
33050,C++ Developer,development,Дивергент,senior,328400,https://hirehi.ru/development/c-developer-33050,удалённо,Не указано
33049,Java Developer,development,Aston,middle,194100,https://hirehi.ru/development/java-developer-33049,удалённо,Не указано
33048,ios разработчик,development,Глобус-ИТ,middle,180900,https://hirehi.ru/development/ios-razrabotchik-33048,удалённо,РФ
33047,business analyst,analytics,TopSelection,senior,270000,https://hirehi.ru/analytics/business-analyst-33047,удалённо,РФ
33045,Product Owner,management,Carrot quest,senior,200000,https://hirehi.ru/management/product-owner-33045,удалённо,Не указано
33044,ai engineer,development,Сбер,middle,275500,https://hirehi.ru/development/ai-engineer-33044,гибрид,Москва
